applicant_id,company_name,industry,annual_revenue,province
1,Maple Ridge Manufacturing Ltd,Manufacturing,11366506,Ontario
2,PrairieSky Logistics Inc,Transportation,14751919,Manitoba
3,Northern Peak Construction Group,Construction,21880584,British Columbia
4,Blue Horizon Retailers,Retail,6659596,British Columbia
5,IronClad Fabrication Co,Manufacturing,41676919,British Columbia
6,Westline Transport Solutions,Transportation,7192833,Manitoba
7,Evergreen Food Services Ltd,Restaurant,591757,Saskatchewan
8,Summit Valley Technologies,Technology,28371486,Saskatchewan
9,TrueNorth Warehousing Corp,Warehousing,11576970,Alberta
10,CedarStone Building Supplies,Construction,4757248,Alberta
11,Alberta Precision Manufacturing,Manufacturing,36681065,Alberta
12,Pacific Edge Retail Group,Retail,8748546,British Columbia
13,Red River Logistics Ltd,Transportation,4999725,Ontario
14,NorthStar Industrial Services,Manufacturing,47850187,Ontario
15,StoneBridge Construction Co,Construction,4016678,Manitoba
16,Aurora Tech Systems,Technology,8597020,Ontario
17,Golden Prairie Foods,Restaurant,1873623,Alberta
18,Clearwater Distribution Inc,Warehousing,4629905,Manitoba
19,Highland Mechanical Works,Manufacturing,14673674,British Columbia
20,UrbanGrid Retail Solutions,Retail,3776068,Saskatchewan
21,Rocky Mountain Equipment Co,Manufacturing,6497723,Alberta
22,Silverline Manufacturing Group,Manufacturing,21136997,Manitoba
23,West Coast Freight Services,Transportation,2890371,British Columbia
24,Prairie Forge Industries,Manufacturing,29183651,Saskatchewan
25,Maple Coast Construction Ltd,Construction,10327928,Ontario
26,Northern Lights Logistics,Transportation,7229769,Manitoba
27,Ironwood Retail Group,Retail,5299172,British Columbia
28,Skyline Tech Innovations,Technology,15081843,Ontario
29,Frontier Warehousing Solutions,Warehousing,8304806,Ontario
30,Eastwood Manufacturing Co,Manufacturing,48197226,British Columbia
31,Crescent Valley Foods,Restaurant,843333,Manitoba
32,BlueRock Construction Ltd,Construction,18920022,Ontario
33,Arctic Fox Logistics Inc,Transportation,13948982,Saskatchewan
34,Summit Ridge Retail Group,Retail,2679622,British Columbia
35,Granite Peak Engineering,Construction,5390489,Manitoba
36,TrueNorth Fabrication Ltd,Manufacturing,46973816,Ontario
37,Prairie Trail Transport,Transportation,7894409,Alberta
38,Lakeside Food Distributors,Restaurant,2717748,Ontario
39,CopperStone Manufacturing,Manufacturing,22430858,Manitoba
40,Everest Construction Group,Construction,17992356,Saskatchewan
41,NorthBridge Logistics Corp,Transportation,7628990,Alberta
42,GreenField Retail Solutions,Retail,3196304,Ontario
43,RedStone Industrial Co,Manufacturing,41309738,Alberta
44,WestWind Technologies,Technology,22088979,Saskatchewan
45,Aurora Manufacturing Group,Manufacturing,34736653,Ontario
46,Silver Creek Construction,Construction,5167709,Alberta
47,Maple Leaf Distribution Co,Warehousing,1659210,Saskatchewan
48,Prairie Crown Logistics,Transportation,1548887,Alberta
49,Highland Peak Retailers,Retail,1337809,British Columbia
50,IronGate Engineering Ltd,Construction,11252188,Manitoba
51,ClearSky Manufacturing,Manufacturing,3287400,Alberta
52,Northern Star Construction,Construction,19269999,Saskatchewan
53,BlueRiver Logistics,Transportation,2981590,British Columbia
54,SummitEdge Retail Group,Retail,7130681,Saskatchewan
55,RockSolid Fabrication Co,Manufacturing,33526262,Saskatchewan
56,CedarPoint Technologies,Technology,2488249,Saskatchewan
57,Westland Transport Corp,Transportation,5584952,Saskatchewan
58,Evergreen Industrial Solutions,Manufacturing,44445744,Saskatchewan
59,Prairie Horizon Foods,Restaurant,359083,Alberta
60,NorthView Construction Group,Construction,22273121,Manitoba
61,UrbanStone Manufacturing,Manufacturing,5010561,Alberta
62,Golden Ridge Logistics,Transportation,19729738,Alberta
63,TrueNorth Retail Systems,Retail,4070655,Manitoba
64,StoneRiver Engineering Co,Construction,17253895,Manitoba
65,Alpine Peak Technologies,Technology,7600832,Manitoba
66,Redwood Distribution Ltd,Warehousing,12797988,Saskatchewan
67,Blue Prairie Construction,Construction,23838410,Saskatchewan
68,Iron Valley Manufacturing,Manufacturing,16862854,British Columbia
69,WestStar Logistics Group,Transportation,2517404,Ontario
70,Northern Crest Retailers,Retail,1055976,Alberta
71,SummitStone Industrial Co,Manufacturing,45288128,British Columbia
72,MapleForge Engineering Ltd,Construction,9870885,Ontario
73,Prairie Sky Construction Corp,Construction,10089157,Alberta
74,Highland River Logistics,Transportation,7091830,Ontario
75,ClearPath Manufacturing,Manufacturing,35923228,Manitoba
76,Aurora Ridge Retail Group,Retail,8335423,British Columbia
77,Rocky North Technologies,Technology,23559252,British Columbia
78,Everest Valley Distribution,Warehousing,9459396,British Columbia
79,TrueEdge Construction Ltd,Construction,3714663,Manitoba
80,CedarSky Industrial Solutions,Manufacturing,29034807,Ontario
